New Dietary Ingredient Notification #,New Dietary Ingredient Report # Regulations.gov,Name of New Dietary Ingredient,Firm,Date of Submission,Date of FDA's   Response  
1312,N/A,Nicotinamide Riboside Hydrogen Malate,"Thorne Health Tech, Inc.",10/26/2023,1/9/2024
1313,N/A,BLH308,"BEN’S LAB CO., LTD",10/31/2023,1/11/2024
1314,N/A,Anagain Nu,REGENSIFY Pte Ltd,11/6/2023,1/17/2024
1315,N/A,Açaí Juçara (Euterpe edulis),Duas Rodas,11/7/2023,1/18/2024
1316,N/A,GlucoCalm,Sara Rusana Consult Group Eood,11/27/2023,2/5/2024
1317,N/A,Cordy Ilight Cordycep Cicadae Mycelium from Liquid Fermentation,Grape King Bio Ltd.,12/14/2023,2/13/2024
1318,N/A,Unripe Jujube Fruit Extract,"TCI Co., Ltd.",12/14/2023,2/23/2024
1319,N/A,Schisandra fruit extract powder,"QBM Co., Ltd.",12/19/2023,2/26/2024
1320,N/A,Omega-3 Fish Oil,Spirit Pharmaceutical LLC,1/8/2024,3/20/2024
1321,N/A,Deep sea minerals,"QBM Co., Ltd.",1/18/2024,3/25/2024
1322,N/A,Chios mastic gum powder (CMP),Chíos Mastiha Growers Association,1/23/2024,3/29/2024
1323,N/A,Plant Origin Lactic Acid Bacteria K-1,"Kerry Ingredients and Flavors, Inc.",2/7/2024,4/1/2024
1324,N/A,Propolis Drops,Ozgur Yasar,2/8/2024,4/2/2024
1325,N/A,PE0401 powder,"Glac Biotech Co., Ltd.",3/11/2024,5/17/2024
1326,N/A,Akkermansia muciniphila,ADM Deerland,3/11/2024,4/8/2024
1327,N/A,PMF,PMF Natural Products Company,3/15/2024,5/23/2024
1328,N/A,Vernonanthura nudiflora extract,O Sigma Cell and Genetics LLC,3/21/2024,5/3/2024
1329,N/A,PrimaColl Type 21 Collagen,Geltor,3/26/2024,5/13/2024
1330,N/A,SitFree (Euphorbia Prostrata Tablet),Panacea Biotec Pharma Limited,4/10/2024,6/17/2024
1331,N/A,Fermented Chrysanthemum Extract (RenoSage™),"Hughes Biotechnology Co., Ltd.",4/12/2024,6/18/2024
1332,N/A,Recombinant human lactoferin rhLF,DBA Paula Marcinkeviciute,4/22/2024,6/25/2024
1333,N/A,Red algae extract,MH Biotechnology Corporation Ltd .,4/23/2024,5/31/2024
1334,N/A,Black pearl wax apple extract,MH Biotechnology Corporation Ltd .,4/23/2024,5/31/2024
1335,N/A,Herbal Extract - QishenYiqi (T101),NatureKue Inc.,4/25/2024,7/2/2024
1336,N/A,Uzara - Xysmalobium undulatum (TRUZARA),Afriplex (Pty) Ltd,5/2/2024,7/2/2024
1337,N/A,Shilajit,"GAUNGZHOU YITIJIAN BIOENGINEERING CO., LTD",5/10/2024,5/14/2024
1338,N/A,Biomass of Levilactobacillus brevis (formerly classified as Lactobacillus brevis) AL003 (DSM33682),Alfasigma S.p.A.,5/14/2024,7/25/2024
1339,N/A,HRG24,Botalys,5/15/2024,5/30/2024
1340,N/A,Wasabi Sulfinyl,"Kinjirushi Wasabi International Co., Ltd.",6/10/2024,8/19/2024
